,ActiveIngredients,List,Product,TherapeuticClass,ATC,PharmaceuticalForm,Status
698,LABETALOL HYDROCHLORIDE 5 milligram(s)/millilitre,['labetalol hydrochloride'],"Trandate Injection, solution for injection 5 mg/ml",BETA BLOCKING AGENTS,C07AG01,SOLUTION FOR INJECTION,Authorised
699,CHLORTALIDONE 25 milligram(s) | ATENOLOL 100 milligram(s),"['chlortalidone', 'atenolol']","Tenoretic Tablet, film coated 100mg/25mg",BETA BLOCKING AGENTS,C07CB03,FILM-COATED TABLET,Withdrawn
700,LABETALOL HYDROCHLORIDE 200 milligram(s),['labetalol hydrochloride'],Labetalol 200mg Tablets,BETA BLOCKING AGENTS,C07CG,FILM-COATED TABLET,Authorised
701,LABETALOL HYDROCHLORIDE 100 milligram(s),['labetalol hydrochloride'],Labetalol 100 mg Tablets,BETA BLOCKING AGENTS,C07CG,FILM-COATED TABLET,Authorised
702,AMLODIPINE 5 milligram(s),['amlodipine'],Amlodipine Fair-Med 5mg Tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Withdrawn
703,AMLODIPINE 10 milligram(s),['amlodipine'],Amlo,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Withdrawn
704,AMLODIPINE 10 milligram(s),['amlodipine'],Amlodipine Fair-Med 10mg Tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Withdrawn
705,AMLODIPINE 5 milligram(s),['amlodipine'],Istin 5 mg tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Authorised
706,AMLODIPINE 10 milligram(s),['amlodipine'],Istin Tablets 10mg,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Withdrawn
707,AMLODIPINE 5 milligram(s),['amlodipine'],Amlo,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Withdrawn
708,AMLODIPINE 5 milligram(s),['amlodipine'],Amlodipine Aurobindo 5mg Tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Authorised
709,AMLODIPINE 10 milligram(s),['amlodipine'],Amlodipine Aurobindo 10mg Tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Authorised
710,AMLODIPINE 10 milligram(s),['amlodipine'],"Amlorine 10, 10mg Tablets",CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Authorised
711,AMLODIPINE 10 milligram(s),['amlodipine'],Amlodipine Besilate/Norma Capsule 10mg,CALCIUM CHANNEL BLOCKERS,C08CA01,CAPSULE,Authorised
712,AMLODIPINE 5 milligram(s),['amlodipine'],"Amlorine 5, 5mg Tablets",CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Authorised
713,AMLODIPINE 5 milligram(s),['amlodipine'],Amlodipine Bluefish 5mg Tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Withdrawn
714,AMLODIPINE 10 milligram(s),['amlodipine'],Amlodipine Bluefish 10mg Tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Withdrawn
715,AMLODIPINE 5 milligram(s),['amlodipine'],Amlodipine Besilate/Norma Capsule 5mg,CALCIUM CHANNEL BLOCKERS,C08CA01,CAPSULE,Authorised
716,AMLODIPINE 5 milligram(s),['amlodipine'],Amlodipine 5mg Tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Withdrawn
717,AMLODIPINE 10 milligram(s),['amlodipine'],Amlodipine Tablets 10mg,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Withdrawn
718,AMLODIPINE 5 milligram(s),['amlodipine'],Amlodipina LPH Tablets 5mg,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Withdrawn
719,AMLODIPINE 10 milligram(s),['amlodipine'],Amlodipine Tablets 10mg,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Withdrawn
720,AMLODIPINE 5 milligram(s),['amlodipine'],Amlodipine Tablets 5mg,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Withdrawn
721,AMLODIPINE 5 milligram(s),['amlodipine'],Amlodipine 5mg Tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Authorised
722,AMLODIPINE 10 milligram(s),['amlodipine'],Amlodipine 10mg Tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Authorised
723,AMLODIPINE 5 milligram(s),['amlodipine'],Amlodipin - 1A Pharma 5mg Tablets N,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Withdrawn
724,AMLODIPINE 10 milligram(s),['amlodipine'],Amlodipin - 1A Pharma 10mg Tablets N,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Withdrawn
725,AMLODIPINE 5 milligram(s),['amlodipine'],Amlodipine Tablets 5mg,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Invalid
726,AMLODIPINE 10 milligram(s),['amlodipine'],Amlodipine Tablets 10mg,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Invalid
727,AMLODIPINE 5 milligram(s),['amlodipine'],Amlodipine Tablets 5mg,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Withdrawn
728,AMLODIPINE 10 milligram(s),['amlodipine'],Amlodipine Tablets 10mg,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Invalid
729,AMLODIPINE 5 milligram(s),['amlodipine'],Amlodipine Tablets 5mg,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Invalid
730,AMLODIPINE 5 milligram(s),['amlodipine'],Amlodipine Teva 5mg Tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Withdrawn
731,AMLODIPINE 10 milligram(s),['amlodipine'],Amlodipine Teva 10mg Tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Withdrawn
732,AMLODIPINE 5 milligram(s),['amlodipine'],Amlodipine 5mg Tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Withdrawn
733,AMLODIPINE 5 milligram(s),['amlodipine'],Amlodipine 5mg Tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Invalid
734,AMLODIPINE 10 milligram(s),['amlodipine'],Amlodipine 10mg Tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Authorised
735,AMLODIPINE 5 milligram(s),['amlodipine'],Amlodipine 5mg Tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Authorised
736,AMLODIPINE 10 milligram(s),['amlodipine'],Amlodipine 10mg Tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Authorised
737,AMLODIPINE 5 milligram(s),['amlodipine'],Amlodipine 5mg Tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Authorised
738,AMLODIPINE 5 milligram(s),['amlodipine'],Amlodipine 5 mg tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Authorised
739,AMLODIPINE 10 milligram(s),['amlodipine'],Amlodipine 10 mg tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Authorised
740,AMLODIPINE 5 milligram(s),['amlodipine'],Amlodipine Teva 5 mg Tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Authorised
741,AMLODIPINE 5 milligram(s),['amlodipine'],Amlodipine Teva 5 mg Tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Authorised
742,AMLODIPINE 10 milligram(s),['amlodipine'],Amlodipine Teva 10 mg Tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Authorised
743,AMLODIPINE 5 milligram(s),['amlodipine'],Istin 5 mg tablets,CALCIUM CHANNEL BLOCKERS,C08CA01,TABLET,Authorised
744,VERAPAMIL HYDROCHLORIDE 40 milligram(s),['verapamil hydrochloride'],Akilen 40mg Tablet,CALCIUM CHANNEL BLOCKERS,C08DA01,FILM-COATED TABLET,Authorised
745,VERAPAMIL HYDROCHLORIDE 40 milligram(s),['verapamil hydrochloride'],Caveril 40mg coated tablets,CALCIUM CHANNEL BLOCKERS,C08DA01,COATED TABLET,Authorised
746,VERAPAMIL HYDROCHLORIDE 240 milligram(s),['verapamil hydrochloride'],Securon SR Tablet Modified Release 240mg,CALCIUM CHANNEL BLOCKERS,C08DA01,MODIFIED-RELEASE TABLET,Invalid
747,VERAPAMIL HYDROCHLORIDE 240 milligram(s),['verapamil hydrochloride'],Vera-Til SR Tablets 240mg,CALCIUM CHANNEL BLOCKERS,C08DA01,MODIFIED-RELEASE HARD CAPSULE,Withdrawn
748,VERAPAMIL HYDROCHLORIDE 240 milligram(s),['verapamil hydrochloride'],Verapress MR 240 Tablets,CALCIUM CHANNEL BLOCKERS,C08DA01,TABLET,Withdrawn
749,VERAPAMIL HYDROCHLORIDE 2.5 milligram(s)/millilitre,['verapamil hydrochloride'],Isoptin Solution for Inj/Inf 2.5mg/ml,CALCIUM CHANNEL BLOCKERS,C08DA01,SOLUTION FOR INFUSION OR INJECTION,Authorised
750,VERAPAMIL HYDROCHLORIDE 240 milligram(s),['verapamil hydrochloride'],Isoptin SR 240 mg Prolonged-Release Tablets,CALCIUM CHANNEL BLOCKERS,C08DA01,PROLONGED-RELEASE TABLET,Authorised
751,VERAPAMIL HYDROCHLORIDE 2.5 milligram(s)/millilitre,['verapamil hydrochloride'],Securon IV,CALCIUM CHANNEL BLOCKERS,C08DA01,SOLUTION FOR INJECTION,Authorised
752,VERAPAMIL HYDROCHLORIDE 40 milligram(s),['verapamil hydrochloride'],Verapamil Tablets BP 40mg,CALCIUM CHANNEL BLOCKERS,C08DA01,FILM-COATED TABLET,Authorised
753,VERAPAMIL HYDROCHLORIDE 240 milligram(s),['verapamil hydrochloride'],Verapamil 240 ret - 1A Pharma Extended-release tablets,CALCIUM CHANNEL BLOCKERS,C08DA01,PROLONGED-RELEASE TABLET,Authorised
754,VERAPAMIL HYDROCHLORIDE 240 milligram(s),['verapamil hydrochloride'],"Isoptin HTA, 240mg, extended-release tablet",CALCIUM CHANNEL BLOCKERS,C08DA01,MODIFIED-RELEASE TABLET,Authorised
755,INDAPAMIDE 1.5 milligram(s) | AMLODIPINE 5 milligram(s),"['indapamide', 'amlodipine']",Natrixam 1.5mg/5mg modified-release Tablets,CALCIUM CHANNEL BLOCKERS,C08GA02,MODIFIED-RELEASE TABLET,Authorised
756,INDAPAMIDE 1.5 milligram(s) | AMLODIPINE 10 milligram(s),"['indapamide', 'amlodipine']",Natrixam 1.5mg/10mg modified-release Tablets,CALCIUM CHANNEL BLOCKERS,C08GA02,MODIFIED-RELEASE TABLET,Authorised
757,PERINDOPRIL ARGININE 2.5 milligram(s),['perindopril arginine'],Coversyl 2.5mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09AA04,FILM-COATED TABLET,Withdrawn
758,PERINDOPRIL ARGININE 5 milligram(s),['perindopril arginine'],Coversyl 5mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09AA04,FILM-COATED TABLET,Authorised
759,PERINDOPRIL ARGININE 10 milligram(s),['perindopril arginine'],Coversyl 10mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09AA04,FILM-COATED TABLET,Authorised
760,PERINDOPRIL ARGININE 2.5 milligram(s),['perindopril arginine'],COVERSYL ARGININE 2.5mg orodispersible Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09AA04,ORODISPERSIBLE TABLET,Withdrawn
761,PERINDOPRIL ARGININE 5 milligram(s),['perindopril arginine'],COVERSYL ARGININE 5mg orodispersible Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09AA04,ORODISPERSIBLE TABLET,Withdrawn
762,PERINDOPRIL ARGININE 10 milligram(s),['perindopril arginine'],COVERSYL ARGININE 10mg orodispersible Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09AA04,ORODISPERSIBLE TABLET,Withdrawn
763,PERINDOPRIL ARGININE 5 milligram(s),['perindopril arginine'],Coversyl 5mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09AA04,FILM-COATED TABLET,Withdrawn
764,PERINDOPRIL ARGININE 5 milligram(s),['perindopril arginine'],Coversyl 5mg Film Coated Tablet,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09AA04,FILM-COATED TABLET,Invalid
765,PERINDOPRIL ARGININE 5 milligram(s),['perindopril arginine'],"Coversyl Tablet, film coated 5mg",AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09AA04,FILM-COATED TABLET,Withdrawn
766,PERINDOPRIL ARGININE 5 milligram(s),['perindopril arginine'],Coversyl Arginine 5 mg film-coated tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09AA04,FILM-COATED TABLET,Authorised
767,PERINDOPRIL ARGININE 10 milligram(s),['perindopril arginine'],Coversyl Arginine 10 mg film-coated tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09AA04,FILM-COATED TABLET,Authorised
768,PERINDOPRIL ARGININE 10 milligram(s),['perindopril arginine'],Coversyl 10 mg film-coated tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09AA04,FILM-COATED TABLET,Authorised
769,PERINDOPRIL ARGININE 5 milligram(s),['perindopril arginine'],Coversy 5 mg film-coated tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09AA04,FILM-COATED TABLET,Authorised
770,PERINDOPRIL ARGININE 5 milligram(s),['perindopril arginine'],Coversyl Arginine 5 mg film-coated tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09AA04,FILM-COATED TABLET,Authorised
771,ETHINYLESTRADIOL 0.02 milligram(s) | DROSPIRENONE 3 milligram(s),"['ethinylestradiol', 'drospirenone']",Yasminelle 0.02 mg/3 mg film-coated tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09AA04,FILM-COATED TABLET,Authorised
772,PERINDOPRIL ARGININE 10 milligram(s),['perindopril arginine'],Coversyl Arginine 10 mg film-coated tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09AA04,FILM-COATED TABLET,Authorised
773,PERINDOPRIL TERT-BUTYLAMINE SALT 4 milligram(s) | INDAPAMIDE 1.25 milligram(s),"['perindopril tert-butylamine salt', 'indapamide']",Coversyl Plus,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BA04,TABLET,Withdrawn
774,INDAPAMIDE 0.625 milligram(s) | PERINDOPRIL TERT-BUTYLAMINE SALT 2 milligram(s),"['indapamide', 'perindopril tert-butylamine salt']",Preterax 2mg/0.625mg Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BA04,TABLET,Authorised
775,PERINDOPRIL ARGININE 2.5 milligram(s) | INDAPAMIDE 0.625 milligram(s),"['perindopril arginine', 'indapamide']",Preterax Arginine 2.5mg/0.625mg film coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BA04,FILM-COATED TABLET,Withdrawn
776,PERINDOPRIL ARGININE 5 milligram(s) | INDAPAMIDE 1.25 milligram(s),"['perindopril arginine', 'indapamide']",bi Preterax Argenine 5mg/1.25mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BA04,FILM-COATED TABLET,Withdrawn
777,PERINDOPRIL ARGININE 5 milligram(s) | INDAPAMIDE 1.25 milligram(s),"['perindopril arginine', 'indapamide']",Coversyl Plus 5mg/1.25mg film-coated tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BA04,FILM-COATED TABLET,Authorised
778,INDAPAMIDE 2.5 milligram(s) | PERINDOPRIL ARGININE 10 milligram(s),"['indapamide', 'perindopril arginine']",COVERSYL PLUS 10mg/2.5mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BA04,FILM-COATED TABLET,Authorised
779,PERINDOPRIL TERT-BUTYLAMINE SALT 4 milligram(s) | INDAPAMIDE 1.25 milligram(s),"['perindopril tert-butylamine salt', 'indapamide']",Perindopril/Indapamide 4mg/ 1.25mg Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BA04,TABLET,Withdrawn
780,PERINDOPRIL ARGININE 2.5 milligram(s) | INDAPAMIDE .625 milligram(s),"['perindopril arginine', 'indapamide .']",Percarnil Indapamide 2.5mg/0.625mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BA04,FILM-COATED TABLET,Withdrawn
781,PERINDOPRIL ARGININE 5 milligram(s) | INDAPAMIDE 1.25 milligram(s),"['perindopril arginine', 'indapamide']",Percarnil Indapamide 5mg / 1.25mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BA04,FILM-COATED TABLET,Withdrawn
782,PERINDOPRIL ARGININE 10 milligram(s) | INDAPAMIDE 2.5 milligram(s),"['perindopril arginine', 'indapamide']",Percarnil Indapamide 10mg/2.5mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BA04,FILM-COATED TABLET,Withdrawn
783,PERINDOPRIL TERT-BUTYLAMINE SALT 4 milligram(s) | INDAPAMIDE 1.25 milligram(s),"['perindopril tert-butylamine salt', 'indapamide']",Percanil Indapamide Tablets 4mg/1.25,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BA04,TABLET,Withdrawn
784,INDAPAMIDE 2.5 milligram(s) | PERINDOPRIL 6.816 milligram(s),"['indapamide', 'perindopril']",Perindopril tosilate/Indapamide Teva 10mg/2.5mg Film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BA04,FILM-COATED TABLET,Withdrawn
785,PERINDOPRIL ARGININE 5 milligram(s) | INDAPAMIDE 1.25 milligram(s),"['perindopril arginine', 'indapamide']",Coversyl Arginine Plus 5mg/1.25mg film-coated tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BA04,FILM-COATED TABLET,Authorised
786,PERINDOPRIL ARGININE 5 milligram(s) | INDAPAMIDE 1.25 milligram(s),"['perindopril arginine', 'indapamide']",Coversyl Arginine Plus 5mg/1.25mg film-coated tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BA04,FILM-COATED TABLET,Authorised
787,LISINOPRIL 10 milligram(s) | AMLODIPINE 5 milligram(s),"['lisinopril', 'amlodipine']",Lisinopril/Amlodipine Alkaloid-INT 10 mg/5 mg tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BB03,TABLET,Authorised
788,LISINOPRIL 20 milligram(s) | AMLODIPINE 10 milligram(s),"['lisinopril', 'amlodipine']",Lisinopril/Amlodipine Alkaloid-INT 20 mg/10 mg tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BB03,TABLET,Authorised
789,LISINOPRIL 20 milligram(s) | AMLODIPINE 5 milligram(s),"['lisinopril', 'amlodipine']",Lisinopril/Amlodipine Alkaloid-INT 20 mg/5 mg tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BB03,TABLET,Authorised
790,PERINDOPRIL ARGININE 5 milligram(s) | AMLODIPINE 5 milligram(s),"['perindopril arginine', 'amlodipine']",Coveram Tablets 5mg/5mg,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BB04,TABLET,Authorised
791,AMLODIPINE 10 milligram(s) | PERINDOPRIL ARGININE 5 milligram(s),"['amlodipine', 'perindopril arginine']",Coveram Tablets 5mg/10mg,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BB04,TABLET,Authorised
792,AMLODIPINE 5 milligram(s) | PERINDOPRIL ARGININE 10 milligram(s),"['amlodipine', 'perindopril arginine']",Coveram Tablets 10mg/5mg,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BB04,TABLET,Authorised
793,AMLODIPINE 10 milligram(s) | PERINDOPRIL ARGININE 10 milligram(s),"['amlodipine', 'perindopril arginine']",Coveram Tablets 10mg/10mg,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BB04,TABLET,Authorised
794,PERINDOPRIL ARGININE 3.5 milligram(s) | AMLODIPINE 2.5 milligram(s),"['perindopril arginine', 'amlodipine']",Viacoram 3.5mg/2.5mg tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BB04,TABLET,Withdrawn
795,PERINDOPRIL ARGININE 7 milligram(s) | AMLODIPINE 5 milligram(s),"['perindopril arginine', 'amlodipine']",Viacoram 7mg/5mg tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BB04,TABLET,Withdrawn
796,AMLODIPINE 5 milligram(s) | PERINDOPRIL ARGININE 2.5 milligram(s) | INDAPAMIDE 0.625 milligram(s),"['amlodipine', 'perindopril arginine', 'indapamide']",Triplixam 2.5mg/0.625mg/5mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BX01,FILM-COATED TABLET,Withdrawn
797,AMLODIPINE 5 milligram(s) | PERINDOPRIL ARGININE 5 milligram(s) | INDAPAMIDE 1.25 milligram(s),"['amlodipine', 'perindopril arginine', 'indapamide']",Triplixam 5mg/1.25mg/5mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BX01,FILM-COATED TABLET,Authorised
798,AMLODIPINE 10 milligram(s) | PERINDOPRIL ARGININE 5 milligram(s) | INDAPAMIDE 1.25 milligram(s),"['amlodipine', 'perindopril arginine', 'indapamide']",Triplixam 5mg/1.25mg/10mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BX01,FILM-COATED TABLET,Authorised
799,AMLODIPINE 5 milligram(s) | PERINDOPRIL ARGININE 10 milligram(s) | INDAPAMIDE 2.5 milligram(s),"['amlodipine', 'perindopril arginine', 'indapamide']",Triplixam 10mg/2.5mg/5mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BX01,FILM-COATED TABLET,Authorised
800,AMLODIPINE 10 milligram(s) | PERINDOPRIL ARGININE 10 milligram(s) | INDAPAMIDE 2.5 milligram(s),"['amlodipine', 'perindopril arginine', 'indapamide']",Triplixam 10mg/2.5mg/10mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09BX01,FILM-COATED TABLET,Authorised
801,HYDROCHLOROTHIAZIDE 80 milligram(s) | VALSARTAN 12.5 milligram(s),"['hydrochlorothiazide', 'valsartan']",Valsartan/Hydrochlorothiazide Teva 80mg/12.5mg Film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,FILM-COATED TABLET,Withdrawn
802,VALSARTAN 80 milligram(s),['valsartan'],Diovan 80 mg film-coated tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,FILM-COATED TABLET,Authorised
803,VALSARTAN 160 milligram(s),['valsartan'],Diovan 160 mg film-coated tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,FILM-COATED TABLET,Authorised
804,VALSARTAN 40 milligram(s),['valsartan'],Diovan 40 mg film-coated tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,FILM-COATED TABLET,Authorised
805,VALSARTAN 3 milligram(s)/millilitre,['valsartan'],Diovan 3mg/ml oral solution,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,ORAL SOLUTION,Authorised
806,VALSARTAN 40 milligram(s),['valsartan'],Valsartan 40mg Capsules,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,CAPSULE,Withdrawn
807,VALSARTAN 80 milligram(s),['valsartan'],Valsartan 80mg Capsules,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,CAPSULE,Withdrawn
808,VALSARTAN 160 milligram(s),['valsartan'],Valsartan 160mg Capsules,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,CAPSULE,Withdrawn
809,VALSARTAN 40 milligram(s),['valsartan'],Valsartan Krka 40mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,FILM-COATED TABLET,Authorised
810,VALSARTAN 80 milligram(s),['valsartan'],Valsartan Krka 80mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,FILM-COATED TABLET,Authorised
811,VALSARTAN 160 milligram(s),['valsartan'],Valsartan Krka 160mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,FILM-COATED TABLET,Authorised
812,VALSARTAN 320 milligram(s),['valsartan'],Valsartan Krka 320mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,FILM-COATED TABLET,Authorised
813,VALSARTAN 40 milligram(s),['valsartan'],Valsotens Coated Tablets 40mg,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,FILM-COATED TABLET,Withdrawn
814,VALSARTAN 80 milligram(s),['valsartan'],Valsotens Coated Tablets 80mg,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,FILM-COATED TABLET,Withdrawn
815,VALSARTAN 160 milligram(s),['valsartan'],Valsotens 160mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,FILM-COATED TABLET,Withdrawn
816,VALSARTAN 40 milligram(s),['valsartan'],Valsartan Capsules Hard 40mg,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,HARD CAPSULE,Authorised
817,VALSARTAN 80 milligram(s),['valsartan'],Valsartan Capsules Hard 80mg,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,HARD CAPSULE,Authorised
818,VALSARTAN 160 milligram(s),['valsartan'],Valsartan Capsules Hard 160mg,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,HARD CAPSULE,Authorised
819,VALSARTAN 320 milligram(s),['valsartan'],Diovan 320 mg film-coated tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,FILM-COATED TABLET,Authorised
820,VALSARTAN 160 milligram(s),['valsartan'],Diovan 160 mg film-coated tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,FILM-COATED TABLET,Authorised
821,VALSARTAN 80 milligram(s),['valsartan'],Valsartan Zentiva 80mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,FILM-COATED TABLET,Withdrawn
822,VALSARTAN 160 milligram(s),['valsartan'],Valsartan Zentiva 160mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,FILM-COATED TABLET,Withdrawn
823,VALSARTAN 80 milligram(s),['valsartan'],Valsartan Farmoz 80mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,FILM-COATED TABLET,Withdrawn
824,VALSARTAN 160 milligram(s),['valsartan'],Valsartan Farmoz 160mg film-coated Tablets,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09CA03,FILM-COATED TABLET,Withdrawn
